	GWC2	ORAL_P_A_F_Bin_00012	ORAL_P_A_F_Bin_00021	ORAL_P_A_F_Bin_00032	ORAL_P_A_F_Bin_00045	ORAL_P_A_F_MAG_00015	ORAL_P_A_M_Bin_00015	ORAL_P_A_M_Bin_00020	ORAL_P_B_F_Bin_00037	ORAL_P_B_F_MAG_00010	ORAL_P_B_F_MAG_00020	ORAL_P_B_F_MAG_00026	ORAL_P_B_F_MAG_00030	ORAL_P_B_M_Bin_00030	ORAL_P_B_M_MAG_00009	ORAL_P_B_M_MAG_00010	ORAL_P_B_M_MAG_00013	ORAL_P_C_F_Bin_00020	ORAL_P_C_F_Bin_00028	ORAL_P_C_F_MAG_00002	ORAL_P_C_F_MAG_00004	ORAL_P_C_M_Bin_00016	ORAL_P_C_M_Bin_00022	ORAL_P_C_M_Bin_00040	ORAL_P_C_M_MAG_00010	ORAL_P_C_M_MAG_00011	ORAL_P_C_M_MAG_00013	ORAL_P_D_F_Bin_00011	ORAL_T_A_F_MAG_00011	ORAL_T_A_F_MAG_00015	ORAL_T_A_F_MAG_00016	ORAL_T_B_F_Bin_00010	ORAL_T_B_F_Bin_00011	ORAL_T_B_F_Bin_00014	ORAL_T_B_M_MAG_00011	ORAL_T_B_M_MAG_00012	ORAL_T_C_F_MAG_00008	ORAL_T_C_M_Bin_00011	ORAL_T_C_M_Bin_00012	ORAL_T_C_M_Bin_00015	ORAL_T_C_M_Bin_00022	ORAL_T_C_M_MAG_00008	ORAL_T_D_F_MAG_00008	ORAL_T_D_F_MAG_00010	RAAC3	S_aal	TM7_MAG_III_A_1	TM7_MAG_III_A_2	TM7_MAG_III_B_1	TM7_MAG_III_C_1	TM7_S1_	TM7_S2_	TM7_S7_	TM7c	TM7x
Phenylalanyl-tRNA synthetase alpha subunit	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	2	2	1	1	0	0	1
ATP-dependent protease ClpP, protease subunit	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	3	1	1	1	1	1	2	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1
ADP-ribose pyrophosphatase YjhB, NUDIX family	5	10	9	6	5	7	6	7	8	7	8	10	9	7	10	7	5	6	7	4	10	4	7	9	2	3	4	4	1	2	1	1	1	1	2	3	3	1	2	2	0	12	1	2	1	5	9	1	2	6	2	8	12	5	8
Predicted Zn-dependent peptidase	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1
Protein chain release factor A	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	0	1	1	0	1
Preprotein translocase subunit SecY	1	1	1	0	0	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1
Carbamate kinase	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	2	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1
DNA-directed RNA polymerase, beta subunit/140 kD subunit	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	2	1	1	0	0	1	1	1	1	1	1	0	2	2	0	0	1	0	1
Ribosomal protein L1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	0	1	1	0	1	0	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Ribosomal protein L7/L12	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Ribosomal protein L11	1	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cell division ATPase FtsA	2	2	3	2	1	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	2	2	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	1	2	2	1	3	1	4	2
Ribosome recycling factor	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1
Replication-associated recombination protein RarA (DNA-dependent ATPase)	1	2	1	1	0	0	0	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	0	2	1	0	0	1	1	1
Pyruvate kinase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Superfamily I DNA or RNA helicase	2	2	4	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	3	3	2	2	1	2	2	2	4	3	3	3	3	3	2	3	3	2	3	4	2	3	4	3	2	2	2	3	4	3	1	3	1	3	2
16S rRNA C1402 N4-methylase RsmH	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1
Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1
Ribosomal protein S8	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
Translation initiation factor IF-3	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Ribosomal protein S16	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1
Ribosomal protein S5	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
Tfp pilus assembly protein, ATPase PilM	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	1	1	1	2	0	1	1	1	1	0	1	1	1	2	1	1	2	2	2	2	2	2	1	1	2	2	2
Transcription termination factor NusB	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Ribosomal protein L27	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1
Ribosomal protein L10	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	0	1	1	1	1
dsRNA-specific ribonuclease	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	2	1	1	1	1	1	1	1	1	1	0	1
Tryptophanyl-tRNA synthetase	1	2	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	2	0	0	1	1	2	1	1	2	1	2	1	1	1	0	0	1
tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA	1	0	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	2	0	0	1	0	1
Site-specific recombinase XerD	1	0	1	1	0	1	1	1	1	2	2	0	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
16S rRNA U516 pseudouridylate synthase RsuA and related 23S rRNA U2605, pseudouridylate synthases	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Enolase	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	2	0	1	1	0	1
Endonuclease I	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1
DNA gyrase/topoisomerase IV, subunit A	1	0	1	1	0	1	1	2	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	2	0	1	1	2	1	1	1	1	1	1	0	1	1	1	2	1
Aspartyl-tRNA synthetase	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	2	0	0	1	1	0	1
Predicted RNA-binding protein Jag, conains KH and R3H domains	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	2	1
Nucleoside diphosphate kinase	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1
Ribosomal protein L19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1
Ribosomal protein L15	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	2	1
Ribonuclease HI	2	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	2	2	1	1	2	1	2	2	2	1	1	2	1	1	3	2	2	1	1	1	1	1	0	0	1	1	1
Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1
Seryl-tRNA synthetase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	0	2	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	0	0	1	0	1
Exonuclease VII, large subunit	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	0	1
Ribosomal protein S12	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1
Ribosomal protein S18	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1
Molecular chaperone IbpA, HSP20 family	3	1	2	1	1	3	1	2	1	2	1	2	1	1	1	2	2	1	1	1	2	1	1	1	2	1	1	2	1	0	1	1	1	0	1	1	1	0	1	1	1	2	1	0	1	1	2	2	1	2	0	1	2	1	1
Triosephosphate isomerase	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1
Single-stranded DNA-specific exonuclease, DHH superfamily, may be involved in archaeal DNA replication intiation	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	0	1	1	3	1
Guanylate kinase	1	1	2	1	0	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	1	1	3	3	1	1
Recombinational DNA repair protein (RecF pathway)	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
Primosomal protein N' (replication factor Y) - superfamily II helicase	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	2	2	0	1	1	2	1
Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains	2	1	1	3	0	2	3	3	3	2	1	1	3	3	2	1	2	3	3	1	1	2	2	3	1	1	2	1	1	1	2	3	1	3	1	1	1	2	1	1	3	2	1	1	2	1	2	2	3	1	1	1	2	2	3
Ribosomal protein S6	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	2	1
Predicted RNA-binding protein YlqC, contains KH domain, UPF0109 family	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1
Cell division protein YceG, involved in septum cleavage	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	0	1	0	1	1
tRNA G37 N-methylase TrmD	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1
Predicted GTPases	1	1	1	2	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	2	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	2	2	2	1	1	1	1
Ribosomal protein L35	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1
Ribosomal protein S9	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1
Translation initiation factor IF-1	1	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Ribosomal protein L31	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1
Co-chaperonin GroES (HSP10)	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1
Ribosomal protein S2	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1
23S rRNA pseudoU1915 N3-methylase RlmH	1	0	1	1	1	1	1	1	1	1	0	1	1	2	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0
Ribosomal protein S20	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	1
Chaperonin GroEL (HSP60 family)	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1	2	0	1	1	1	1	0	1	1	0	2	1	0	1	1	1
ATPase components of ABC transporters with duplicated ATPase domains	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1	0	1	1	3	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	2	1	2	1	1	0	1	1	3
SOS response regulatory protein OraA/RecX, interacts with RecA	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	2	2	0	0	1	1	1
DNA anti-recombination protein (rearrangement mutator) RmuC	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	0	1
Phenylalanyl-tRNA synthetase beta subunit	1	1	1	1	1	2	2	1	2	0	1	1	2	1	1	1	1	1	1	1	2	2	2	1	0	1	1	1	1	1	1	1	1	2	2	1	2	0	1	2	1	1	1	1	1	1	1	1	3	2	2	2	1	0	1
UDP-glucose 4-epimerase	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	2	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1
Ribosomal protein S10	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1
Ribosomal protein L20	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1
Adenylate kinase or related kinase	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	3	0	1	2	1	3	3	3	1	3	3	1	1	3	3	1	1	2	1	2	0	0	1	1	2	1
ABC-type polar amino acid transport system, ATPase component	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	2	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	2	1	0	1	0	1
Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	0	1	1	1
Excinuclease UvrABC, nuclease subunit	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	2	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	0	2	1	1	1
Uncharacterized membrane protein YfcC, ion transporter superfamily	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	2	1	1	1	0	2	1	0	1	1	0	1	2	1	1	0	1	1	0	1	1	1	1	1	2	1	1	1	0	1	0	1	0	0	1	1	2	1
UDP-N-acetylmuramate-alanine ligase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	0	1	1	0	1
FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	0	0	1
Predicted rRNA methylase YqxC, contains S4 and FtsJ domains	1	0	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	1	1	1	1	1	2	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	0	0	1	1	1
Ribosomal protein S7	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1
Ribosomal protein L18	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Ribosomal protein S15P/S13E	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	0	0	0	1	0	1
RNase H-fold protein, predicted Holliday junction resolvase in Firmicutes and mycoplasms, involved in anti-termination at Rho-dependent terminators	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	2	0	1	1
Glutaredoxin	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	2	1	1	0	1	1	1
tmRNA-binding protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1
UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	1	1	2	2	0	1	2	0	1
Ribosomal protein L5	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	0	1	0	1
Methionyl-tRNA formyltransferase	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	2	1	1	1	1	1	1
RNase P protein component	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	2	0	0	1	2	1
RecG-like helicase	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	0	1	1	1	0	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	1	1	0	1
tRNA G46 methylase TrmB	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	2	1	1	1	1	2	1	0	1	1	0	0	0	2	1	0	1	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	2	0	1
Ribosomal protein S13	1	1	0	0	0	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1
Ribosomal protein L33	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	2	1
DNA-directed RNA polymerase, alpha subunit/40 kD subunit	1	2	0	0	0	1	0	0	0	1	1	2	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	2	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1
ABC-type polysaccharide/polyol phosphate transport system, ATPase component	1	0	1	1	0	1	1	0	0	0	2	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	2	0	0	1	0	0	1	2	1
Zn-dependent protease with chaperone function	2	2	1	1	1	2	1	1	1	2	2	2	1	1	2	2	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	3	0	1	2	0	1
tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
Methionine aminopeptidase	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	2	1
ABC-type amino acid transport/signal transduction system, periplasmic component/domain	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1
